code,num
C1003,286.6757305316424
C1006,421.90040845241526
C1016,644.0924120410107
C1019,275.4928987415417
C1030,29.867100691377203
C1038,289.36085349590803
C1040,527.6083738293021
C1060,592.9220670860399
C1064,723.3148171666007
C1071,522.8408545283587
C1072,723.8623729942572
C1083,475.2044083086785
C1105,957.6390949564885
C1128,1208.3146579501267
C1135,215.1403196591849
C1147,840.1103635562596
C1149,552.0292736729341
C1152,1133.01538658227
C1158,261.18384328201716
C1166,334.4687527141136
C1189,261.5455930800214
C1215,660.3765825121637
C1216,252.04256927647373
C1225,180.68050274963778
C1229,274.46868149511033
C1239,415.53345710833264
C1250,1028.6725583561047
C1253,804.0399184486926
C1266,497.49158322252845
C1267,430.0341188575257
C1282,538.2991548888073
C1289,347.63452203651025
C1294,636.1056073122769
C1297,478.5988531335253
C1311,311.93991060474076
C1318,275.08464777333904
C1323,473.0322055620997
C1332,1198.5278786452077
C1349,233.20072450960518
C1377,353.25076756455235
C1392,660.6998641516603
C1414,470.5776611166822
C1416,914.1143628363822
C1456,531.8810104457824
C1457,626.8813222090087
C1472,482.9228706295615
C1474,135.72507954010538
C1494,989.0812865709725
C1495,904.8457706717579
C1496,743.8684759576115
C1521,1132.3172507210284
C1525,1129.2105298610252
C1563,1813.9380030279963
C1564,292.73481895339387
C1570,1000.468530429446
C1593,251.13678554584789
C1602,314.77009749526144
C1603,510.9695251257803
C1604,452.6983034108929
C1617,1020.8313475656951
C1621,555.6371465355425
C1623,270.01335724280966
C1629,165.76677631198228
C1633,195.2073578175637
C1637,497.3560495357399
C1640,517.0749338852553
C1683,241.59807989808772
C1692,903.3448779020739
C1708,259.525101631502
C1712,681.7550778618822
C1721,640.5062269078137
C1729,95.04880687105184
C1741,406.41914274691885
C1749,608.8838223031702
C1772,491.7000187467836
C1782,449.26347328272425
C1794,1027.2375886736086
C1812,127.23733802967223
C1826,255.7866582969172
C1827,423.1001033388399
C1830,791.0423885704635
C1835,803.5876997666664
C1840,498.104027908776
C1841,61.0507470999318
C1844,546.429441886625
C1849,624.5992338565317
C1852,811.1800683972893
C1855,334.39512783384305
C1887,676.8737198697468
C1902,855.1523914162474
C2028,1060.3882431755374
C2033,336.4992341396504
C2039,894.711564148857
C2043,268.61857019045146
C2072,266.99309763771936
C2076,918.9398641247768
C2091,130.46006941105435
C2112,322.49069807112204
C2113,645.3379446047398
C2128,304.5578430193665
C2131,530.690878943617
C2144,625.2111775755554
C2152,37.409145566822446
C2174,513.3301966529416
C2175,914.8111136096406
C2177,164.16842244498645
C2189,262.8812999860962
C2215,426.2353195634795
C2222,388.4726053635418
C2224,895.3172544851263
C2253,130.84926392713987
C2267,941.9576259248424
C2268,465.9846700938757
C2269,560.9760446991529
C2292,653.9606828116121
C2295,444.52608975100213
C2303,1442.7881018852315
C2318,253.7041318652769
C2323,552.0983523297382
C2363,469.67938477815756
C2369,626.0350918855552
C2374,336.4295449295334
C2397,565.9249583861751
C2404,121.86996683866694
C2411,634.5075190578657
C2417,476.73848456971086
C2423,158.42440583126347
C2430,712.2464035839529
C2436,703.820778364033
C2451,490.81620720833627
C2456,257.9193399042938
C2473,967.1726077180509
C2497,617.4011376950884
C2523,327.50085028572664
C2535,556.8616228486601
C2547,461.0784047447339
C2551,454.49413437150906
C2555,1290.9793503807516
C2557,878.4753734618482
C2600,441.53447023927856
C2602,246.9970887254908
C2608,1036.417890205657
C2646,548.8559539304981
C2653,959.8377097250146
C2676,345.9646105284372
C2688,114.41348442183678
C2691,1150.2701914210477
C2675,0
C2335,0
C1327,0
