단지코드,총세대수,임대건물구분,지역,공급유형,전용면적,전용면적별세대수,공가수,자격유형,임대보증금,임대료,지하철,버스정류장,단지내주차면수,ERROR1,임대건물구분_lb,상가,아파트,지역_lb,강원도,경기도,경상남도,경상북도,광주광역시,대구광역시,대전광역시,부산광역시,서울특별시,세종특별자치시,울산광역시,전라남도,전라북도,제주특별자치도,충청남도,충청북도,공급유형_lb,공공분양,공공임대(10년),공공임대(50년),공공임대(5년),공공임대(분납),국민임대,영구임대,임대상가,장기전세,행복주택,자격유형_lb,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,ERROR1_lb,나머지,분양상가,분양아파트,등록차량수,총세대수_lb,총세대수_lb_A1,총세대수_lb_B1,총세대수_lb_C1,총세대수_lb_D1,총세대수_lb_E1
ERR04_2483,900,아파트,경상북도,국민임대,35.0,134,38.0,A,15667000.0,103680.0,0.0,3.0,1425.0,나머지,1,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1015.0,D1,0,0,0,1,0
ERR04_2483,900,아파트,경상북도,국민임대,35.0,15,38.0,A,15667000.0,103680.0,0.0,3.0,1425.0,나머지,1,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1015.0,D1,0,0,0,1,0
ERR04_2483,900,아파트,경상북도,국민임대,50.0,385,38.0,A,27304000.0,184330.0,0.0,3.0,1425.0,나머지,1,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1015.0,D1,0,0,0,1,0
ERR04_2483,900,아파트,경상북도,국민임대,50.0,15,38.0,A,27304000.0,184330.0,0.0,3.0,1425.0,나머지,1,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1015.0,D1,0,0,0,1,0
ERR04_2483,900,아파트,경상북도,국민임대,50.0,41,38.0,A,27304000.0,184330.0,0.0,3.0,1425.0,나머지,1,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1015.0,D1,0,0,0,1,0
ERR04_2483,900,아파트,경상북도,국민임대,50.0,89,38.0,A,27304000.0,184330.0,0.0,3.0,1425.0,나머지,1,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1015.0,D1,0,0,0,1,0
ERR04_2483,900,아파트,경상북도,국민임대,50.0,135,38.0,A,27304000.0,184330.0,0.0,3.0,1425.0,나머지,1,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1015.0,D1,0,0,0,1,0
ERR04_2483,900,아파트,경상북도,국민임대,55.0,86,38.0,A,30357000.0,214270.0,0.0,3.0,1425.0,나머지,1,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1015.0,D1,0,0,0,1,0
C2515,545,아파트,경상남도,국민임대,30.0,276,17.0,A,9216000.0,82940.0,0.0,3.0,624.0,나머지,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,205.0,D1,0,0,0,1,0
C2515,545,아파트,경상남도,국민임대,35.0,60,17.0,A,12672000.0,107130.0,0.0,3.0,624.0,나머지,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,205.0,D1,0,0,0,1,0
